district,neighborhood,room,living_room,area,age,floor,price
 Beyoğlu , Müeyyetzade Mah.,1,1,110,10,2,70000
 Küçükçekmece , Cumhuriyet Mah.,3,1,145,25,2,25000
 Küçükçekmece , Atakent Mah.,2,1,84,16,3,24000
 Silivri , Yeni Mah.,2,1,100,0,5,20000
 Bahçelievler , Siyavuşpaşa Mah.,3,1,110,37,2,17500
 Beyoğlu , Ömer Avni Mah.,1,1,90,35,2,35000
 Şişli , Esentepe Mah.,1,1,117,15,11,110000
 Beykoz , Acarlar Mah.,6,2,650,11,0,435000
 Kağıthane , Harmantepe Mah.,1,1,65,15,1,15000
 Üsküdar , Selimiye Mah.,3,1,120,31,1,33000
 Beyoğlu , Yenişehir Mah.,2,1,80,30,0,14000
 Şişli , Fulya Mah.,2,1,80,40,0,18000
